source_id,derived_from,configuration,beta_deg,rudder_deg,alpha_deg,omega_b_over_2V,zero_replicate,dCA_vertical,dCN_vertical,dCm_vertical,dCY_vertical,dCl_vertical,dCn_vertical,derivation,qa_status
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,-0.40,,-0.003,0.04,-0.007,0.028,0.0034,-0.0061,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,-0.30,,0.002,0.02,-0.008,0.022,0.0023,-0.0048,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,-0.20,,0.009,-0.03,-0.008,0.011,0.0020,-0.0040,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,-0.10,,0.011,-0.03,-0.008,0.008,0.0017,-0.0032,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,-0.05,,0.009,-0.03,-0.009,0.005,0.0013,-0.0029,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,0.00,1,0.005,0.00,-0.007,0.015,0.0006,-0.0024,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,0.00,2,0.003,0.02,-0.006,0.018,0.0006,-0.0027,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,0.05,,0.017,-0.01,-0.007,0.009,0.0003,-0.0022,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,0.10,,0.016,-0.02,-0.007,0.007,0.0001,-0.0021,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,0.20,,0.015,-0.01,-0.006,0.009,-0.0002,-0.0022,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,0.30,,0.014,-0.02,-0.007,0.004,-0.0009,-0.0024,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,0,0.40,,0.012,-0.02,-0.007,0.002,-0.0014,-0.0025,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,5,-0.40,,-0.008,0.04,-0.014,-0.027,-0.0013,0.0031,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
NASA_CR_3608_DERIVED_VERTICAL_INCREMENT,CR3608_ROTARY_BODY_WING_LEX_VERTICAL_DR0_BETA0_V0.1 - CR3608_ROTARY_BODY_WING_LEX_BETA0_V0.1,"F-18 vertical-tail incremental contribution from component buildup",0,0,5,-0.30,,-0.005,0.04,-0.012,-0.004,0.0002,0.0017,BODY_WING_LEX_VERTICAL_MINUS_BODY_WING_LEX,DERIVED_EXACT_ARITHMETIC_FROM_PAGE_IMAGE_CROSSCHECKED_SOURCE_TABLES
